-1.796	-1.521
0.208	-0.449
0.208	-0.449
0.420	1.711
0.420	1.711
0.788	1.864
0.788	1.864
3.415	3.987
3.415	3.987
-1.050	1.008
-1.050	1.008
0.303	2.437
0.303	2.437
2.790	1.028
2.790	1.028
0.046	-0.279
0.046	-0.279
-1.842	-0.489
-1.842	-0.489
2.596	0.291
2.596	0.291
1.738	20
1.738	20
1.560	1.435
1.560	1.435
1.609	20
1.609	20
1.000	20
1.000	20
-0.020	-1.737
-0.020	-1.737
1.193	20
1.193	20
-1.116	-2.013
-1.116	-2.013
0.082	20
0.082	20
1.552	2.377
1.552	2.377
0.420	0.317
0.420	0.317
0.668	5.078
0.668	5.078
1.395	20
1.395	20
-0.204	0.664
-0.204	0.664
1.069	4.115
1.069	4.115
0.612	1.280
0.612	1.280
1.627	3.624
1.627	3.624
1.562	0.377
1.562	0.377
0.556	0.198
0.556	0.198
1.706	1.763
1.706	1.763
-1.224	20
-1.224	20
0.433	0.445
0.433	0.445
2.040	2.907
2.040	2.907
1.712	1.322
1.712	1.322
0.603	20
0.603	20
3.764	-0.251
3.764	-0.251
1.751	0.875
1.751	0.875
0.879	63.135
0.879	63.135
2.341	3.386
2.341	3.386
1.119	0.383
1.119	0.383
0.862	2.016
0.862	2.016
1.486	20
1.486	20
0.383	-0.032
0.383	-0.032
0.317	20
0.317	20
1.950	1.726
1.950	1.726
-2.013	-1.116
-2.013	-1.116
1.130	0.455
1.130	0.455
1.936	2.324
1.936	2.324
2.165	-0.303
2.165	-0.303
0.318	1.322
0.318	1.322
1.784	1.988
1.784	1.988
-0.302	0.954
-0.302	0.954
-1.118	-2.359
-1.118	-2.359
1.444	20
1.444	20
1.919	1.424
1.919	1.424
1.544	1.109
1.544	1.109
-1.466	20
-1.466	20
2.132	1.625
2.132	1.625
0.480	0.431
0.480	0.431
-2.719	1.004
-2.719	1.004
0.787	0.649
0.787	0.649
-0.035	-2.126
-0.035	-2.126
-0.249	20
-0.249	20
3.609	1.928
3.609	1.928
-3.210	20
-3.210	20
1.800	1.782
1.800	1.782
2.613	1000000.000
2.613	1000000.000
3.032	0.078
3.032	0.078
2.259	20
2.259	20
1.203	0.506
1.203	0.506
-0.391	-3.831
-0.391	-3.831
1.093	-5.781
1.093	-5.781
-0.458	20
-0.458	20
2.508	3.172
2.508	3.172
1.909	-3.740
1.909	-3.740
0.067	-2.120
0.067	-2.120
1.406	2.000
1.406	2.000
2.858	-0.663
2.858	-0.663
3.131	20
3.131	20
0.827	0.529
0.827	0.529
1.796	20
1.796	20
2.413	-4.455
2.413	-4.455
1.072	6.947
1.072	6.947
0.572	0.493
0.572	0.493
2.031	20
2.031	20
1.708	0.379
1.708	0.379
1.067	2.130
1.067	2.130
0.746	20
0.746	20
1.054	20
1.054	20
0.867	0.644
0.867	0.644
-3.239	-0.175
-3.239	-0.175
2.797	-0.138
2.797	-0.138
3.579	4.487
3.579	4.487
-0.955	20
-0.955	20
0.341	0.177
0.341	0.177
0.529	0.916
0.529	0.916
-0.734	0.025
-0.734	0.025
-0.751	-0.544
-0.751	-0.544
0.165	20
0.165	20
1.371	1.215
1.371	1.215
-4.089	-0.989
-4.089	-0.989
-0.491	0.327
-0.491	0.327
5.853	87.030
5.853	87.030
3.035	1.502
3.035	1.502
0.555	2.286
0.555	2.286
1.641	1.146
1.641	1.146
-0.938	0.228
-0.938	0.228
1.525	-1.241
1.525	-1.241
-1.496	-0.734
-1.496	-0.734
2.254	1.832
2.254	1.832
-0.082	-1.929
-0.082	-1.929
0.772	20
0.772	20
3.401	1.076
3.401	1.076
20	22.114
20	22.114
0.884	1.046
0.884	1.046
0.744	20
0.744	20
1.686	20
1.686	20
0.404	0.576
0.404	0.576
-0.352	-2.205
-0.352	-2.205
2.180	5.421
2.180	5.421
-0.020	0.419
-0.020	0.419
1.817	2.180
1.817	2.180
1.514	2.562
1.514	2.562
-0.529	4.605
-0.529	4.605
0.672	0.262
0.672	0.262
1.540	3.329
1.540	3.329
3.478	0.638
3.478	0.638
-2.495	-2.503
-2.495	-2.503
0.105	20
0.105	20
1.792	1.754
1.792	1.754
1.241	53.473
1.241	53.473
-0.493	1.328
-0.493	1.328
2.139	20
2.139	20
-1.436	5.351
-1.436	5.351
2.324	4.348
2.324	4.348
2.007	2.659
2.007	2.659
0.866	8.512
0.866	8.512
1.174	20
1.174	20
1.723	2.075
1.723	2.075
0.650	1.971
0.650	1.971
3.946	2.414
3.946	2.414
0.205	20
0.205	20
2.850	2.552
2.850	2.552
1.183	0.286
1.183	0.286
2.120	1.266
2.120	1.266
0.737	20
0.737	20
-2.171	1.523
-2.171	1.523
0.691	20
0.691	20
-1.668	-2.968
-1.668	-2.968
1.180	0.078
1.180	0.078
0.949	-2.246
0.949	-2.246
0.124	20
0.124	20
-0.020	20
-0.020	20
-0.335	-0.089
-0.335	-0.089
0.234	2.440
0.234	2.440
1.446	1.189
1.446	1.189
2.230	2.014
2.230	2.014
0.942	11.833
0.942	11.833
0.800	1.259
0.800	1.259
1.476	1.683
1.476	1.683
-2.223	0.805
-2.223	0.805
1.655	0.869
1.655	0.869
1.397	14.953
1.397	14.953
5.704	4.054
5.704	4.054
2.221	1.099
2.221	1.099
2.928	2.888
2.928	2.888
1.990	1.614
1.990	1.614
0.236	1.126
0.236	1.126
0.465	-3.864
0.465	-3.864
0.274	17.248
0.274	17.248
1.157	1000000.000
1.157	1000000.000
-2.539	-1.147
-2.539	-1.147
2.371	4.675
2.371	4.675
0.016	-4.651
0.016	-4.651
-0.899	1.088
-0.899	1.088
-2.400	0.015
-2.400	0.015
0.362	-0.512
0.362	-0.512
2.039	0.930
2.039	0.930
-2.090	-0.950
-2.090	-0.950
0.496	0.957
0.496	0.957
1.493	-0.657
1.493	-0.657
0.793	20
0.793	20
2.414	1000000.000
2.414	1000000.000
0.599	1.264
0.599	1.264
1.216	1.364
1.216	1.364
0.893	0.568
0.893	0.568
-0.993	20
-0.993	20
0.474	0.660
0.474	0.660
1.131	0.552
1.131	0.552
1.070	1.898
1.070	1.898
1.797	-3.411
1.797	-3.411
4.950	20
4.950	20
2.778	20
2.778	20
0.657	2.126
0.657	2.126
-0.015	0.421
-0.015	0.421
0.752	0.897
0.752	0.897
-0.560	-0.505
-0.560	-0.505
2.012	8.572
2.012	8.572
1.807	20
1.807	20
1.999	0.998
1.999	0.998
1.889	1.985
1.889	1.985
1.364	1.472
1.364	1.472
-0.772	20
-0.772	20
-5.247	20
-5.247	20
2.818	2.580
2.818	2.580
2.185	1.631
2.185	1.631
2.845	-2.387
2.845	-2.387
0.606	2.400
0.606	2.400
2.593	0.566
2.593	0.566
1.351	1.999
1.351	1.999
6.065	2.311
6.065	2.311
-0.401	3.326
-0.401	3.326
-0.094	0.957
-0.094	0.957
2.284	2.323
2.284	2.323
